item_id,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,media_type,visual_status,rights_status,uncertainty_ids
urbanek-ccs-036,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/38  Farářka  Jana Šilerová obnovila slavnostní první přijímá.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/38  Farářka  Jana Šilerová obnovila slavnostní první přijímá.jpg",repo_verified,1221e44aa1d472029b0277240e4b531141c577d4,216302,image/jpeg,visually_reviewed,unknown,URB-U-0058
urbanek-ccs-037,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/39  Rada starších asi v r. 1945-46 sedící čtvrtý zprava bisk.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/39  Rada starších asi v r. 1945-46 sedící čtvrtý zprava bisk.jpg",repo_verified,08a270ef5bc89c031a22e3453406344e20e3f36d,1566287,image/jpeg,visually_reviewed,unknown,URB-U-0059
urbanek-ccs-038,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/40  Rada starších a členové sboru  26. 4.1970.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/40  Rada starších a členové sboru  26. 4.1970.jpg",repo_verified,245a38aa309e048317ea798202b419bcef812ec3,350292,image/jpeg,visually_reviewed,unknown,URB-U-0059
urbanek-ccs-039,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/41  Rada starších s farářkou Janou Šilerovou, rok není určen.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/41  Rada starších s farářkou Janou Šilerovou, rok není určen.jpg",repo_verified,0bce9b9b8a428185fb0a950910e614701b650c41,384015,image/jpeg,visually_reviewed,unknown,URB-U-0059
urbanek-ccs-040,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/42  Pěvecký sbor s p. Šlachtou a Far. Vodičkou. 1933.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/42  Pěvecký sbor s p. Šlachtou a Far. Vodičkou. 1933.jpg",repo_verified,7836caf6181f8629fdc4d69b8bc39e3c66588c0b,1083909,image/jpeg,visually_reviewed,unknown,URB-U-0060
