id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-popopo-016,popopo/P1010748a.jpg,sources/osobni-archiv-jaromira-urbanka/popopo/P1010748a.jpg,P1010748a.jpg,image/jpeg,1333397,1sulSEUAkDrtG9PI5-x-oPqfGC_uGUS8S,repo_verified,567b7e6c52ac33c964ffd7a6423e94aadef3c7ac,999c95fc71ca4c894e0840d8d06885c9db3706e3c5bb59570ca534f124482ce6,2304x3072,completed_first_visual_pass
urbanek-popopo-017,popopo/P1010749.JPG,sources/osobni-archiv-jaromira-urbanka/popopo/P1010749.JPG,P1010749.JPG,image/jpeg,3479902,12RdWgHtnupncnYANb6aaNdv4oh62VvKM,repo_verified,808cd5d0ad7bd819142175905f73f468978cbd4f,2cfd26b3cb7ad62ca46fa8562063b6ea21d871d4566ca5b59437696995610dc6,2304x3072,completed_first_visual_pass
urbanek-popopo-018,popopo/P1010752.JPG,sources/osobni-archiv-jaromira-urbanka/popopo/P1010752.JPG,P1010752.JPG,image/jpeg,3349753,1kGKC5QpUv9eCAs565iQq7KdOYrmvVeBq,repo_verified,774bc6e06f60708b4d78abd0c52b423be2dfb1b0,6c59f8ac19c478555d946b4552c65c42eb30c02f4d62324878581c16cbeb11a9,3072x2304,completed_first_visual_pass
urbanek-popopo-019,popopo/P1010754.JPG,sources/osobni-archiv-jaromira-urbanka/popopo/P1010754.JPG,P1010754.JPG,image/jpeg,3142958,1NLVc3Lmi3UQvXljGbwhxhxFvB2FYgp6x,repo_verified,19dcaad5621703b7bb7239094e516ff0ef2f75c3,b268eda55297faa5bc68557e2e4e6efccf2e79ca15d8b241bee4799fb415263c,3072x2304,completed_first_visual_pass
urbanek-popopo-020,popopo/P1010755a.jpg,sources/osobni-archiv-jaromira-urbanka/popopo/P1010755a.jpg,P1010755a.jpg,image/jpeg,1131620,1zidCJ7-yXSlpLoVq1Ae-ppTDfSB6gC4F,repo_verified,bb813b813798352a536abc586295bf0168462e95,1e34e2ad53272b274cbddb2b1f2b8d4e9cb6642a5789912a39aabe9fb181c30f,2360x1772,completed_first_visual_pass
