id,source_subfolder,archival_filename,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,digital_format,rights,attribution,drive_id
urbanek-ccs-111,5 Kaple CČS na Ostravici,6.jpg,5 Kaple CČS na Ostravici/6.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/6.jpg,repo_verified,c8c02abe6793be16cc2f2c3dbcbcfc9e1f1afcb4,412612,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1tbLjp11VmeYjjOorhC3_FGw-5dVxcKey
urbanek-ccs-112,5 Kaple CČS na Ostravici,7.jpg,5 Kaple CČS na Ostravici/7.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/7.jpg,repo_verified,d8b718e85ba3d0a17bbc86b0a4a129954b0e039a,361343,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1X4zHdPOIjJCb29HKs3OzowUwzv5f4WtD
urbanek-ccs-113,5 Kaple CČS na Ostravici,8  Winklerova zvonička.jpg,5 Kaple CČS na Ostravici/8  Winklerova zvonička.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/8  Winklerova zvonička.jpg,repo_verified,02a876d893e6363cf0d4d0062fb7e31c87ea16ed,405120,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1vFP0kgBOBjy32MNlvbb5H5n0d645aPaV
urbanek-ccs-114,5 Kaple CČS na Ostravici,8a  V r. 2016 byla stará zvonička demontována a nahrazena novou.jpg,5 Kaple CČS na Ostravici/8a  V r. 2016 byla stará zvonička demontována a nahrazena novou.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/8a  V r. 2016 byla stará zvonička demontována a nahrazena novou.jpg,repo_verified,db6ea94988ad8b5c9edc756ab1d2326754c642d4,944194,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1zd6_5SJPGUU0n_wc9j_l03DLXnLkkmHJ
urbanek-ccs-115,5 Kaple CČS na Ostravici,8b.jpg,5 Kaple CČS na Ostravici/8b.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/8b.jpg,repo_verified,48afff1c4a1ecc0b6652e3877db9a276166a723e,1070456,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1RAy5xzv1xabdkUXArcdgnVAHMPkPFJH6
