id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-unused-book-calendar-photographs-001,"fotografie, které nebyl použité pro knihu ani kalendář/045.jpg","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/045.jpg",045.jpg,image/jpeg,2117096,1j9_Xj2vR-zWi2i97slEk89Tnw0p1qcVJ,repo_verified,b04b3c7b0999ee4e5fdc2f2775474737f36a8985,2084aef9c913c3faeba446df3384957670717b906265e482ebf5026349fbc617,1912x1420,completed_first_visual_pass
urbanek-unused-book-calendar-photographs-002,"fotografie, které nebyl použité pro knihu ani kalendář/093.JPG","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/093.JPG",093.JPG,image/jpeg,3624326,1HBi6WJ0Og8BZmLi7Tu9KnPYK2vqedfOU,repo_verified,9889ee4b8d86010bf8ed738ca6fc199b110ff97d,fafd49581d15ed5cc7a3e90ba73dc66e87a083e069170c36e5c7311f41ba9a59,2304x3072,completed_first_visual_pass
urbanek-unused-book-calendar-photographs-003,"fotografie, které nebyl použité pro knihu ani kalendář/134.jpg","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/134.jpg",134.jpg,image/jpeg,692462,1oNYpnySIGUFuNiUlIPeroNdCd2ysSJzo,repo_verified,d776b18236089f7c78ae7769782fae6a7a6e3c26,c45164b7bc9b8afab5bb11aa2374f6d79f8856db1ad04cd3d3b8942d8927ebc6,2048x1360,completed_first_visual_pass
urbanek-unused-book-calendar-photographs-004,"fotografie, které nebyl použité pro knihu ani kalendář/164.jpg","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/164.jpg",164.jpg,image/jpeg,539210,1myAJgheO0Ml4XfXdOBDgEbFOKLAevpOP,repo_verified,cff852acba76e004cacda2597a23c377d8ef352e,5c7550f7bae5d48da18dabc50e7bdbc718a74fba26fee2e389778b1da881de1a,1452x906,completed_first_visual_pass
urbanek-unused-book-calendar-photographs-005,"fotografie, které nebyl použité pro knihu ani kalendář/2011cIsenburgové z Birsteinu.jpg","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/2011cIsenburgové z Birsteinu.jpg",2011cIsenburgové z Birsteinu.jpg,image/jpeg,726700,1lNIjFG4tsgPwrZNY-4WQJVWwsiTO8Djy,repo_verified,52df355711855e5c92fd2be2cd45607a007cde59,2b80462743b9bd6b44d8cb42873e627a8474ca99990689c06704fb6a7337febf,1170x1602,completed_first_visual_pass
