id,source_subfolder,archival_filename,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,digital_format,rights,attribution,drive_id
urbanek-ccs-171,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956,16.jpg,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/16.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/16.jpg,repo_verified,f325ee826023dca020e594a358ea2e02f97a6c1a,219581,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,14KKqaoI7RzeI8e_uV14M2JCO1h6Gcddm
urbanek-ccs-172,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956,17.jpg,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/17.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/17.jpg,repo_verified,1dbdb4488fcefbc2102d2a71b3483e03bca75c86,246357,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1yfKFvYn9pEC2pmIUoLWCfODHIFNX_FV0
urbanek-ccs-173,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956,18.jpg,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/18.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/18.jpg,repo_verified,4b2ab6de4b4c7fa7c94188decd66160df277479a,253335,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1TF-JZE5PwpDPSAsCphJyHPjsqil7444O
urbanek-ccs-174,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956,19.jpg,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/19.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/19.jpg,repo_verified,60af7833b6b210202302919669489a70686db409,223445,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1sYcJtpzTtsqFtW8ZCpzZJMzli6hh_zR8
urbanek-ccs-175,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956,20.jpg,7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/20.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/7 Pohřeb biskupa br. Ferdinanda Stibora v říjnu 1956/20.jpg,repo_verified,6d38e8b0649d594988c6ac92e60693d58a707f25,196267,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1gD5FzR-FIMeOfbs1ibDmQTKD-GDnnnIm
