item_id,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,media_type,visual_status,rights_status,uncertainty_ids
urbanek-ccs-046,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/48  Br. farář Gabriel Chrobáček se stal biskupem.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/48  Br. farář Gabriel Chrobáček se stal biskupem.jpg",repo_verified,a374052affe79a66495f4c6e6125c7b068307987,364633,image/jpeg,visually_reviewed,unknown,URB-U-0062
urbanek-ccs-047,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/49  V r. 1970 u příležitosti 50. výročí zal. CČS v Rychvaldě.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/49  V r. 1970 u příležitosti 50. výročí zal. CČS v Rychvaldě.jpg",repo_verified,165dc0a94b8f1caf82c92146cee7f5248f9d6de4,272468,image/jpeg,visually_reviewed,unknown,URB-U-0063
urbanek-ccs-048,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/50  křtiny v r.1970 V brejlích farář Vodička..jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/50  křtiny v r.1970 V brejlích farář Vodička..jpg",repo_verified,7bc281dff5a454be95f8052cdf7240072fe4a857,200337,image/jpeg,visually_reviewed,unknown,URB-U-0064
urbanek-ccs-049,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/51  Tradici pálení hranice s obrazem Jana Husa obnovila far..jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/51  Tradici pálení hranice s obrazem Jana Husa obnovila far..jpg",repo_verified,cff852acba76e004cacda2597a23c377d8ef352e,539210,image/jpeg,visually_reviewed,unknown,URB-U-0065
urbanek-ccs-050,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/52  Průvod od kostela. Vzpomínka na Jana Husa.JPG","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/52  Průvod od kostela. Vzpomínka na Jana Husa.JPG",repo_verified,38df3a6ce4a4df7d876182374bf371f333f40337,2096705,image/jpeg,visually_reviewed,unknown,URB-U-0065
