item_id,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,media_type,visual_status,rights_status,uncertainty_ids
urbanek-ccs-061,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/61  Biskup Gabriel Chrobáček.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/61  Biskup Gabriel Chrobáček.jpg",repo_verified,549b52de29b6bc3741724e62ee82061e4c20d880,431788,image/jpeg,visually_reviewed,unknown,URB-U-0062
urbanek-ccs-062,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/62  Farář Leonard Bogumski.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/62  Farář Leonard Bogumski.jpg",repo_verified,2f65140d859e5054f2bcdfd370def6a3e7e5e2fd,303546,image/jpeg,visually_reviewed,unknown,URB-U-0068
urbanek-ccs-063,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/63  Biskupka Mgr Jana Šilerová.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/63  Biskupka Mgr Jana Šilerová.jpg",repo_verified,107571bf29012097611db6b84cb1b8789de61a58,90354,image/jpeg,visually_reviewed,unknown,URB-U-0058
urbanek-ccs-064,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/2 Návštěva faráře Vodičky v r. 1965 a v r. 1970 u příležitosti 50/1  Faráři Vodička a Bogumský s manželkami.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/2 Návštěva faráře Vodičky v r. 1965 a v r. 1970 u příležitosti 50/1  Faráři Vodička a Bogumský s manželkami.jpg",repo_verified,e5f7100538ee9dfbc5fb1eb705e1b761bed00c38,224962,image/jpeg,visually_reviewed,unknown,"URB-U-0067;URB-U-0068"
urbanek-ccs-065,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/2 Návštěva faráře Vodičky v r. 1965 a v r. 1970 u příležitosti 50/2  U faráře Bogumského v zahradě.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/2 Návštěva faráře Vodičky v r. 1965 a v r. 1970 u příležitosti 50/2  U faráře Bogumského v zahradě.jpg",repo_verified,5f2d0243603dcf24b2850747da39e4418599ae3f,189308,image/jpeg,visually_reviewed,unknown,"URB-U-0067;URB-U-0068"
