id,source_subfolder,archival_filename,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,digital_format,rights,attribution,drive_id
urbanek-ccs-196,10 Kalendář 2015,11.jpg,10 Kalendář 2015/11.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/10 Kalendář 2015/11.jpg,repo_verified,659c0c2c81af84a686a3a6b9e80a08613f20efed,11696469,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1Df6xmHuZa7jB86q2inkLkCoj9DSIfvYH
urbanek-ccs-197,10 Kalendář 2015,12.jpg,10 Kalendář 2015/12.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/10 Kalendář 2015/12.jpg,repo_verified,266f9de709152a903c402a488cad1914890256a9,11884478,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1guMhSZ6Y7yZjkepgstLKhhRC1b_qcgOp
urbanek-ccs-198,10 Kalendář 2015,13.jpg,10 Kalendář 2015/13.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/10 Kalendář 2015/13.jpg,repo_verified,a1e38f036d3d34481631cfce3511bb023c234585,12137679,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1eXqlMJ4q8T8-a1ZrDDf5H3y3EwWdfSFl
urbanek-ccs-199,10 Kalendář 2015,14.jpg,10 Kalendář 2015/14.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/10 Kalendář 2015/14.jpg,repo_verified,1e7b2b3ae9ebd3b495fcb0742ade4bc5552d4b76,12623207,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,15r0cRMflh5_Rt5XLX7-wrnVjXb8KVM6l
urbanek-ccs-200,10 Kalendář 2015,15.jpg,10 Kalendář 2015/15.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/10 Kalendář 2015/15.jpg,repo_verified,4e8f8621bbd9d0335241c5c3172cdfa669178560,10760277,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1tgTbVsSpERY76Ok_hNSIjwN7wbqxGieY
