id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-rychvald-vcera-dnes-016,Fotografie knihy Rychvald včera a dnes/15.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/15.jpg,15.jpg,image/jpeg,2817812,1p6XwFFaKeflxjCJPflwafpC5gVUACjZh,repo_verified,7677e4519c10f65b5078424021b1defa46ff06b7,f4d6948f82eb5c9f335f873c1dbf5fb0c8993faa3d37049a282c0a32b4d62cb3,4525x2422,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-017,Fotografie knihy Rychvald včera a dnes/16.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/16.jpg,16.jpg,image/jpeg,2344393,1Gdrnh2TiS8hioDs_2dW52IF_20VHw06G,repo_verified,95fbf7583df745f1702606b759fccc44433048b9,dc04f74ec93b56bc76e4819f473887be1bd5786a662e577d4e07370cd40b1db1,4361x2144,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-018,Fotografie knihy Rychvald včera a dnes/17.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/17.jpg,17.jpg,image/jpeg,707350,1rkaKKS0izkfB1nehpxnVbDhU4iehxt08,repo_verified,bb13a449e7db2dd7585266771fc4226061d5993c,342301e89a6e849f637d752a260c1476107405dd9da7abc229a0014ead9ceb79,2130x1195,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-019,Fotografie knihy Rychvald včera a dnes/18.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/18.jpg,18.jpg,image/jpeg,2702063,10MAPH3c3JyVdCK8smuxcFHUdLFBvnoZC,repo_verified,e788000eb98b358e398bb3b05ab7cee1518ec9e7,a8fe56e5afacff0bbfdf248af0e6c9c4b320d4580f656565115b0a4a868a09e7,3948x2144,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-020,Fotografie knihy Rychvald včera a dnes/19.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/19.jpg,19.jpg,image/jpeg,2607416,15Jltn5zHfsMa2x563ytbh9bF8-Kvdydq,repo_verified,911e8cf99a5bcbbe6c4dac12cd78ecedb7cbdf6b,095ccd531991312d68fbd4ccaf17aa59c38185b4ff79770d94e6542abe33c706,4309x1999,completed_first_visual_pass
