id,source_path,repo_path,filename,mime_type,size_bytes,repo_status,git_blob_sha,sha256,drive_id,classification
urbanek-boj-o-nabozenstvi-001,Boj o náboženství v Rychvaldě/P1010899.JPG,sources/osobni-archiv-jaromira-urbanka/Boj o náboženství v Rychvaldě/P1010899.JPG,P1010899.JPG,image/jpeg,3177912,repo_verified,7c16fef94dd42a5f76c1d63353fba13ace09849b,ce873df0e366b723fd58b9371e087558cb3bf2645fe97de7d0de138e85b791d8,1xMod1arEP2DJs20_Q266DGDWJaxRtAA9,photographed_manuscript_page
urbanek-boj-o-nabozenstvi-002,Boj o náboženství v Rychvaldě/P1010900.JPG,sources/osobni-archiv-jaromira-urbanka/Boj o náboženství v Rychvaldě/P1010900.JPG,P1010900.JPG,image/jpeg,3177617,repo_verified,d1c2b027577cecffbbcccf5bcdd44931c9012a6e,f372093bc83d1f431433c13fd82ff32306850c37209a8f392aeea9b093439d1d,1rYY_9gaoVir5ZrF0V6O5N68r6po3ljcw,photographed_manuscript_page
urbanek-boj-o-nabozenstvi-003,Boj o náboženství v Rychvaldě/P1010901.JPG,sources/osobni-archiv-jaromira-urbanka/Boj o náboženství v Rychvaldě/P1010901.JPG,P1010901.JPG,image/jpeg,3238387,repo_verified,cac4687b3b7ca99f988ec728410285ed5d342406,053deac027c32336f88b8be189c218ad339fe0efab157395362efaf0721f5938,1rJ0A2dBm35w2Kg_8GkVCepObp_DRAbKT,photographed_manuscript_page
urbanek-boj-o-nabozenstvi-004,Boj o náboženství v Rychvaldě/Thumbs.db,sources/osobni-archiv-jaromira-urbanka/Boj o náboženství v Rychvaldě/Thumbs.db,Thumbs.db,application/octet-stream,10752,repo_verified,851ca380ea17a719b05d5cffd5b8ebaad462dbdd,56948ec4331d112ae5f4605c0eca21501614e9db7eda986c5ce3104f918ce699,1EG6QKs7nFBSwHroOKpP1qwijBvk5P6GO,technical_thumbnail_cache
