item_id,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,media_type,visual_status,rights_status,uncertainty_ids
urbanek-ccs-021,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/23  svatba v r. 1948 před rekonstrukcí.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/23  svatba v r. 1948 před rekonstrukcí.jpg",repo_verified,7200c095240a1c4078602f1179ece041bd841727,155960,image/jpeg,visually_reviewed,unknown,URB-U-0048
urbanek-ccs-022,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/24  Svatba v r. 1948 ještě v kostele před rekonstrukcí.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/24  Svatba v r. 1948 ještě v kostele před rekonstrukcí.jpg",repo_verified,21e839ca02db118b5a4cea7548121ba80db2fddc,166720,image/jpeg,visually_reviewed,unknown,URB-U-0048
urbanek-ccs-023,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/25  Svatba v r. 1948.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/25  Svatba v r. 1948.jpg",repo_verified,d3f9c6c6851fa688652bd7ff4c7544d78db5de73,286252,image/jpeg,visually_reviewed,unknown,URB-U-0048
urbanek-ccs-024,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/26  1948, před rekonstrukcí.Na kůru jsou již nové varhany, a.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/26  1948, před rekonstrukcí.Na kůru jsou již nové varhany, a.jpg",repo_verified,bf55b42c7bf706ba56ad705bffb16970622a69c2,575911,image/jpeg,visually_reviewed,unknown,"URB-U-0046;URB-U-0049"
urbanek-ccs-025,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/27  V r. 1948 navštívil Rychvald biskup Ferdinand Stibor.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/27  V r. 1948 navštívil Rychvald biskup Ferdinand Stibor.jpg",repo_verified,d9817668338315574212297883e233efa75fc3b8,306922,image/jpeg,visually_reviewed,unknown,URB-U-0050
