id,source_subfolder,archival_filename,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,digital_format,rights,attribution,drive_id
urbanek-ccs-151,6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1),10.jpg,6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/10.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/10.jpg,repo_verified,e7d0b0528413895725689571ce3ca74d9747b8a6,173846,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1nZeuWqcLFuHQVwOL81UMcFEhRTSkUBsH
urbanek-ccs-152,6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1),11.jpg,6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/11.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/11.jpg,repo_verified,a2fab28e7ff65cbe52d5507613eacf71f4c4dd2e,156866,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1lYXK3dFob-TZK7q-vlqu95IJ7-eBWPm7
urbanek-ccs-153,6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1),12  Před oltářem v Rychvaldě.jpg,6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/12  Před oltářem v Rychvaldě.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/12  Před oltářem v Rychvaldě.jpg,repo_verified,65e44aa24a7745b99bbe4ff2e183a935df6d83fe,148634,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1mey8utQvKC8MkcMKH9a-r1PvabiC7ZrE
urbanek-ccs-154,6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1),13  Fotografie Karla Vodičky.jpg,6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/13  Fotografie Karla Vodičky.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/13  Fotografie Karla Vodičky.jpg,repo_verified,2c594bd07557cccf6a2ea3cd4cd7997307e4eff5,161282,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1rKoQyuMXAFYhaRfMutPOQRnvmHbJgrfh
urbanek-ccs-155,6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1),"14  Pamětní deska v kostele v Rychvaldě, za níž jsou uloženy.JPG","6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/14  Pamětní deska v kostele v Rychvaldě, za níž jsou uloženy.JPG","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/6 Červen 1970. Pohřeb br. faráře ThDr Karla Vodičky.  Husova Č (1)/14  Pamětní deska v kostele v Rychvaldě, za níž jsou uloženy.JPG",repo_verified,a5781859d0d64384fff6d1c55a9e9100539ec22d,1728220,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1_r26BDq5xIGft9rH94uKfOM-daKeIgvF
