id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-rychvald-011,Rychvald/P1010069.JPG,sources/osobni-archiv-jaromira-urbanka/Rychvald/P1010069.JPG,P1010069.JPG,image/jpeg,3244005,1H4ghGmTSpIi9UAE7vTfVU5HxLSMwFH1k,repo_verified,4c32a408fe0612532f2eeb99b5d4a55d62d395ed,e9e0d9b28b8fa2501cce7da41719640bc1f0fd06ddb22374b2e7a7118ea82c0e,3072x2304,completed_first_visual_pass
urbanek-rychvald-012,Rychvald/P1010070.JPG,sources/osobni-archiv-jaromira-urbanka/Rychvald/P1010070.JPG,P1010070.JPG,image/jpeg,3296258,1EZSqYg4rGDFcQV9sfQNwcFbSFyVp2BZH,repo_verified,69733c2af9de5f910302565a1dd17a782c11797f,411545b7c2bac488918579f9ee050116208d6c5c15ec265a1980b2c1d9657e9d,3072x2304,completed_first_visual_pass
urbanek-rychvald-013,Rychvald/P1010071.JPG,sources/osobni-archiv-jaromira-urbanka/Rychvald/P1010071.JPG,P1010071.JPG,image/jpeg,3490976,1w59xqftcSACBlVOJZlJQiLZ0q3ISdZ1i,repo_verified,7a9d643ae31e660995ff2de0f35f747385f7254e,96de847c9307e08c2d9d31d03234dfb3c77c80565956676f503c80f83c283f3b,2304x3072,completed_first_visual_pass
urbanek-rychvald-014,Rychvald/P1010072.JPG,sources/osobni-archiv-jaromira-urbanka/Rychvald/P1010072.JPG,P1010072.JPG,image/jpeg,3351398,1NzK-usJ-t7uoW2cpIYXVflxsbygvd_8p,repo_verified,5bc700e74bb647d018c50b3bad9bfa127e9f97be,d8a677d8d54a9a5b20245319af1d6e97559cd2c1a9b471ef63862ec7328d9369,2304x3072,completed_first_visual_pass
urbanek-rychvald-015,Rychvald/P1010114.JPG,sources/osobni-archiv-jaromira-urbanka/Rychvald/P1010114.JPG,P1010114.JPG,image/jpeg,2161607,1MhUzEJU3KSuuoaYM-_GtPygyAPGLG3q7,repo_verified,d6276ecb6313ded01d12b743051e756d2eb2e220,6d7f5479339e0928e8177bd8fe0556351ddbeb2bdca764bb85f541aed1f70bf6,2304x3072,completed_first_visual_pass
