id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-fotodokument-root-011,fotodokument/img047.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img047.jpg,img047.jpg,image/jpeg,922388,19kKBNXTlElE3lUjW3PVo-Qm3lk4RxVf5,repo_verified,71d2d34ee9cf7b89ff656990ec924dbd557c772d,d73fb68c3bf42363ab252dfad2010a416d4bc7e5e19120e99a9082b5565fd8cc,2454x1974,completed_first_visual_pass
urbanek-fotodokument-root-012,fotodokument/img048.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img048.jpg,img048.jpg,image/jpeg,705061,1RyWtHMbiCmqLiTJDl6SGISRSyPHl-g5D,repo_verified,d60410216a641c4ddc0cae69b5f9d82569ce7959,3a067183c6071af15441eda48fd60a1a11c6ec9dbffb10afd4ed5b6a438e86a5,2478x1674,completed_first_visual_pass
urbanek-fotodokument-root-013,fotodokument/img049.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img049.jpg,img049.jpg,image/jpeg,1000857,1Vj1zcLacC-SRyyuVTSkFwmgkIMDyJLZ3,repo_verified,7c9723e6bc16327b5e23eedef8c63483be3c6b07,b3445655434b10d6d3ee5145fe286b09c33f2be613e63abfe5b76d7139fdca00,2454x2232,completed_first_visual_pass
urbanek-fotodokument-root-014,fotodokument/img050.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img050.jpg,img050.jpg,image/jpeg,819126,1WLXkZ4lSBnPdVJpqFfr5vrFnXEyS1W-w,repo_verified,5c00b3007eb9468cf597e06abd74c0a981ebb57d,fec9975d840df91bfcf975a2fc7a441d07361bb39fc0025e031ffc8c9f6ee891,2448x1980,completed_first_visual_pass
urbanek-fotodokument-root-015,fotodokument/img052.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img052.jpg,img052.jpg,image/jpeg,390222,1cWhdPcS64ggLMmZ2-Evrq6a7B9e73RUP,repo_verified,37f2fce3c3197f5c1e57a68b4c1b477e57340fb3,c163b79392fbbbb8c72f1bf5470d4d3035680cfdf542def95f7e026a70896808,990x1482,completed_first_visual_pass
