id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-noviny-1938-ceske-slovo-006,Noviny 1938 České slovo/P1020278.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020278.JPG,P1020278.JPG,image/jpeg,1998848,1qFDzteXYOMvCwixbxX5Q3APLNsgaWNWw,repo_verified,703f7a6533bb5a3183ee6b03ec75545055348f0d,8835361cea36473a478e90e01cf507c87a4e9b1d00d29fc9b4134f047316caf8,3072x2304,completed_first_visual_pass
urbanek-noviny-1938-ceske-slovo-007,Noviny 1938 České slovo/P1020279.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020279.JPG,P1020279.JPG,image/jpeg,1990066,1UfVhuWE3HaM1-9SSMFLq8XGsTr6M-IVL,repo_verified,a7f7d7e7e1228e53bac8f68d434dd7653e84debd,e2367636666343292db47bca9e8617969c5bc14c6e624de44248d58df0729fed,3072x2304,completed_first_visual_pass
urbanek-noviny-1938-ceske-slovo-008,Noviny 1938 České slovo/P1020280.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020280.JPG,P1020280.JPG,image/jpeg,2221353,18p71a3tf8sS3zVsou3WP5JxA2wUHh8Lx,repo_verified,a4ca2153eaae09957270fb251f2d495b2004e24a,40a8cf2c0aaace5f5be9b9a81cae334998cc95fc457971cb9448d63c89777c4b,3072x2304,completed_first_visual_pass
urbanek-noviny-1938-ceske-slovo-009,Noviny 1938 České slovo/P1020281.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020281.JPG,P1020281.JPG,image/jpeg,2221909,1r1hLFe2pWiobkP3kWCEZ7v1AgKAuC3jw,repo_verified,1e43e77ef1ea288368a1a93f3333d85e752fa2e4,5b058432613f77a3ae55e353adde252d4f64ddc3663c2881b1cea1b032104283,3072x2304,completed_first_visual_pass
urbanek-noviny-1938-ceske-slovo-010,Noviny 1938 České slovo/P1020283.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020283.JPG,P1020283.JPG,image/jpeg,3401373,1xCujqXhdgwDuE-GRwCqF26KS-XcSym9t,repo_verified,9cbca737cd6bea8d5fe983054571aa8e016d557d,8b4985c940ea277549a0b5c70415d7a04beb2a3f8f31563f1f2577177b9bb29a,3072x2304,completed_first_visual_pass
