id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-popopo-001,popopo/916.jpg,sources/osobni-archiv-jaromira-urbanka/popopo/916.jpg,916.jpg,image/jpeg,2425465,1jP9Xhp4uOX9XGbGUEJGKFouxOxNjYpiC,repo_verified,fa178d27c765a17fe39ab97ddfcb35b48f88ef4c,9c90b80e43b5c6164cc476a81aa10f3fe4f919a8689153093c8843ac7a2158d8,2639x1985,completed_first_visual_pass
urbanek-popopo-002,"popopo/Josef Gemrot.jpg","sources/osobni-archiv-jaromira-urbanka/popopo/Josef Gemrot.jpg","Josef Gemrot.jpg",image/jpeg,487982,1UP5QImagSVsF5kwk9nujDJoxYNiYoY-8,repo_verified,d351b308ff9c2098be25c7caf30bd28371714429,7355c4341f28a188e380e0bcb148cb859eea146a0aab2c595834d3f7c4fb0cdd,1494x1104,completed_first_visual_pass
urbanek-popopo-003,popopo/P1010066a.jpg,sources/osobni-archiv-jaromira-urbanka/popopo/P1010066a.jpg,P1010066a.jpg,image/jpeg,1704517,1eOeSxvWL_erjXrlqOqumZox6DSi27eON,repo_verified,57d4d088d5e9f683db88e1cac23560b512102e2b,54d817eb800c44f301608a28e304d44df96fa6d32aa6f49725ece2f2b4d55b97,2304x3072,completed_first_visual_pass
urbanek-popopo-004,popopo/P1010067.JPG,sources/osobni-archiv-jaromira-urbanka/popopo/P1010067.JPG,P1010067.JPG,image/jpeg,3487696,1vNjeq90Z5fK8zwRPKhM8afmuB1Tn9K1i,repo_verified,b134ef2c4a98c93e771ee7b600dcae2a4dc8a05a,65520d5c54a3cec89ff5ede4139622ef6f3991067f2efe5236274877c9c776ca,3072x2304,completed_first_visual_pass
urbanek-popopo-005,popopo/P1010068.JPG,sources/osobni-archiv-jaromira-urbanka/popopo/P1010068.JPG,P1010068.JPG,image/jpeg,3332457,1gmCX8bRRvBS8tPlTVTv-Nv_J-M38WPif,repo_verified,66e5f99d53a7994d7c9c75e9b5a2973ff82fccc8,7199828ce721671118674faaea1eaf8402ff9212cdd37fcf3d18003c5a630729,3072x2304,completed_first_visual_pass
