id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-fotodokument-root-031,fotodokument/img176.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img176.jpg,img176.jpg,image/jpeg,372144,1ZsRZ9NF2_gn-r55NqQS4esvijzjyulv1,repo_verified,527a8c30f518d9dc733734f1a5ded237183150f3,b52b8eeb90b6160bcc841bb0e0f0318dfbb0698c4ad54db9e5947fab19af9a83,1314x936,completed_first_visual_pass
urbanek-fotodokument-root-032,fotodokument/img178.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img178.jpg,img178.jpg,image/jpeg,982049,1GTJ5PNFSviUjIXQpV6kLAHhd2UxumNtJ,repo_verified,f532e290487cc04423779df9e0ff21c553d1053a,db675140ff0d76b16e95afc3ab6bd7b353b38f15bd1cb4ac31b09acb32666080,2622x1788,completed_first_visual_pass
urbanek-fotodokument-root-033,fotodokument/img196.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img196.jpg,img196.jpg,image/jpeg,365191,1_THa8oGTFqMBUo3xVTsEW1QtohL3-EKa,repo_verified,7e7b3619105e9560cb70780db08d781dcb283aec,d3f5bec9254ef25de7ecdaac2a0daea5a16074ac883a5c76bc700669d0d39db9,1541x935,completed_first_visual_pass
urbanek-fotodokument-root-034,fotodokument/img197.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img197.jpg,img197.jpg,image/jpeg,346904,1zrYmRRIZVgfXbWXBEggGpGDBMa71Xv9d,repo_verified,412685698b45fb7a1fa36f53f249a7a9f9d60c16,b4c15156c7c1849a2180f1938d639e41e661ba5fb6452dc28a8c2e278f1c9d6a,1614x1013,completed_first_visual_pass
urbanek-fotodokument-root-035,fotodokument/img200.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img200.jpg,img200.jpg,image/jpeg,233393,1zsWftNvSKgXJk8T7HKr2rm2wa3gkVzTJ,repo_verified,7ed7bc5a2bffba4fb3c05f49fd4b8556d526d6f1,aa2cf7a4903da3aa560406dd4646c9ed61fb3b17ba3cab7d760957aed3b06271,833x1205,completed_first_visual_pass
