id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-rychvald-vcera-dnes-026,Fotografie knihy Rychvald včera a dnes/25.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/25.jpg,25.jpg,image/jpeg,2520659,1Rgw5b_QaOJxZurp7h3WfmU0dGDteQ1A8,repo_verified,712da133684b413b60af84d3fa0a27af88a7d989,d26e084ea4b02c4cfeea6e72fc7938a8e70123922bdec2bafef3d74f02649267,4546x2381,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-027,Fotografie knihy Rychvald včera a dnes/26.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/26.jpg,26.jpg,image/jpeg,2825155,1Ie79fA4jvukfBnSoyG7MXa-f2xWD7o0k,repo_verified,74a8fc047398e782352a0dcfc91f685e8179b8cc,68913b08470dda1d78cf7a98cc15716cb3c0a6be35c56830c5c6c1679af6935a,4515x2516,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-028,Fotografie knihy Rychvald včera a dnes/27.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/27.jpg,27.jpg,image/jpeg,2837598,1ju0ZPkIJosAb_OFts2tp2XgD6TD8jVpW,repo_verified,f8e408ed2e278bca08d437af61e18964c70670df,c4027197594dcd2624e263814ad9dba58ea4203ad3fb08d21495bafeb0dca8ef,4566x2997,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-029,Fotografie knihy Rychvald včera a dnes/28.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/28.jpg,28.jpg,image/jpeg,3312638,1vPTR-3lMOjcDeJ7C6M-ha8XExuA-Uige,repo_verified,5c22b013bf164bfe4b75e6696a689af3c0c5be3c,b20eef998eda22c2ef453180064b772eae7d29edf1d9f5c7b49e5dab35548e15,4577x2387,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-030,Fotografie knihy Rychvald včera a dnes/29.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/29.jpg,29.jpg,image/jpeg,2914308,1gR67KCIA5v4QjJIMeoVFsWcHlGQ8rK3i,repo_verified,0759f7021007f65bdb02429b0ab3036cb0a765d2,3d6e13d2c7f75000c9244cca565ad95306dbdf59e6e61863f77f12a4d308138b,4505x2495,completed_first_visual_pass
