id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-fotodokument-root-021,fotodokument/img060.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img060.jpg,img060.jpg,image/jpeg,268982,1LXduESO17KtCFGuz3ZQuTkmQzQF__JUN,repo_verified,80a3e55cfc570980d176d96a38238280b60e6d48,06d83296700178e182739ef163ae98137c682241849a349cdd559ccd69368e2e,1578x1014,completed_first_visual_pass
urbanek-fotodokument-root-022,fotodokument/img061.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img061.jpg,img061.jpg,image/jpeg,174817,1aEwIJ9tt6jPgVZ0DnXeH9-WV3IMAZUhy,repo_verified,3d92b7f85dfb5bfb13a6f154e1a573d43f54ef62,92a68cc2b0b5e4ba936cfa9fa62c79f08a6ade8108d81404f0c678d72e0abcd1,1578x1014,completed_first_visual_pass
urbanek-fotodokument-root-023,fotodokument/img062.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img062.jpg,img062.jpg,image/jpeg,202389,1xAQQeAZ7MOAWQJuT1lFySwMX6UAhbUes,repo_verified,e22fd57a06f63638b7076134078e35e115cc07a3,525895e92992e545d587bc3d58c7fa497ec9a51416bc34b4b874d33fcddff95b,1578x1014,completed_first_visual_pass
urbanek-fotodokument-root-024,fotodokument/img063.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img063.jpg,img063.jpg,image/jpeg,519182,1r9mSRhJ4u3UCNiityqxMwGRnmFuXfXaZ,repo_verified,2882f65504cd76d9e667410b2e5f274f0d7808a9,581034cb64298499b45640cc764c9c451133be5d7146c21dd55d5bc19fc2e481,2003x1416,completed_first_visual_pass
urbanek-fotodokument-root-025,fotodokument/img064.jpg,sources/osobni-archiv-jaromira-urbanka/fotodokument/img064.jpg,img064.jpg,image/jpeg,355212,1TbildlLGOsBSdLv6IDooqTsdeiei-spP,repo_verified,d2b32824a38fb487708943598b8a197e4064402e,fdbc52dac1a48ac521817ffa754bebffb6cac4b5a4b35983f63b38608384396f,2034x1422,completed_first_visual_pass
