item_id,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,media_type,visual_status,rights_status,uncertainty_ids
urbanek-ccs-056,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/56  Postavy v živém betlému hrají místní ochotníci.JPG","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/56  Postavy v živém betlému hrají místní ochotníci.JPG",repo_verified,722afe5f5777c99c601563ac8beb982bb4974588,1474991,image/jpeg,visually_reviewed,unknown,URB-U-0066
urbanek-ccs-057,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/57  Koncerty v rámci Svatováclavského festivalu.JPG","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/57  Koncerty v rámci Svatováclavského festivalu.JPG",repo_verified,6e23d04d827a4ace7d1797d84663c5d9f73803c1,3896508,image/jpeg,visually_reviewed,unknown,URB-U-0061
urbanek-ccs-058,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/58  Na adventních koncertech vystupují také děti mísní ZUŠ.JPG","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/58  Na adventních koncertech vystupují také děti mísní ZUŠ.JPG",repo_verified,2c2532b1abe34176dad35abbfe0c681a25004524,63373,image/jpeg,visually_reviewed,unknown,URB-U-0061
urbanek-ccs-059,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/59  V e vstupní hale kostela jsou za touto pam. deskou umíst.JPG","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/59  V e vstupní hale kostela jsou za touto pam. deskou umíst.JPG",repo_verified,a5781859d0d64384fff6d1c55a9e9100539ec22d,1728220,image/jpeg,visually_reviewed,unknown,URB-U-0067
urbanek-ccs-060,"4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/60  První farář ThDr Karel Vodička.jpg","sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/1 Od položení základního kamene. Histotie rychvaldského kostela/60  První farář ThDr Karel Vodička.jpg",repo_verified,f9cfc077e5a3cdd078398dd13e56dd7e9c1c961f,150783,image/jpeg,visually_reviewed,unknown,URB-U-0067
