id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-noviny-1938-ceske-slovo-026,Noviny 1938 České slovo/P1020299.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020299.JPG,P1020299.JPG,image/jpeg,2344086,1fBU9nS7tzmv5kYMriJd7Xyl1lQqxxGn4,repo_verified,6ac020f4b930f1cb7c964d102f919791a4eab6ec,a18df313a61b48fc0c590cc3f4277adccbd0f7a347d4e9c32ab928ed78d04003,3072x2304,completed_first_visual_pass
urbanek-noviny-1938-ceske-slovo-027,Noviny 1938 České slovo/P1020300.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020300.JPG,P1020300.JPG,image/jpeg,3500545,14KP2vx-MDcAXaECQ0Ds2FIPi7GLYe-YM,repo_verified,468d2f2b25806693fabfbee27936d277a3d67299,934a9af797b9dd88c46d33e3316cb43b4e0006fc317c90505a6458e64add08bc,3072x2304,completed_first_visual_pass
urbanek-noviny-1938-ceske-slovo-028,Noviny 1938 České slovo/P1020301.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020301.JPG,P1020301.JPG,image/jpeg,3430621,1aiYjMvxObko6cG9S3MqQF1Qf9Z4tMK88,repo_verified,bd49e0a4b78db518d9efb186e890a6fac48e812c,28b6c7fb26e32a41d892c2f9931e09ebb881a35f017bb7336d0facd6deed6694,3072x2304,completed_first_visual_pass
urbanek-noviny-1938-ceske-slovo-029,Noviny 1938 České slovo/P1020302.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020302.JPG,P1020302.JPG,image/jpeg,3365586,1KvifJK1bOZSFMPnBYu055S2dv3lcgvE-,repo_verified,5303f4a86188c245179526ffae1d1b8005a1812d,a3eeab28db8cfbc0cc57d337df03f4b388ad7e221c2f5816ce2bfa1260170d8a,2304x3072,completed_first_visual_pass
urbanek-noviny-1938-ceske-slovo-030,Noviny 1938 České slovo/P1020303.JPG,sources/osobni-archiv-jaromira-urbanka/Noviny 1938 České slovo/P1020303.JPG,P1020303.JPG,image/jpeg,2592061,1T2bkeDcuv64kHBQoDFhGrlT50aSwRdXl,repo_verified,1a82b6b2e195eef32febe9b43e646e2a406c4748,e528ee525372932e8f0e8a600b8a3bcf1706a86e700582f1f0760353f22d0147,2304x3072,completed_first_visual_pass
