id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-rychvald-021,Rychvald/Rychvald2009 005.jpg,sources/osobni-archiv-jaromira-urbanka/Rychvald/Rychvald2009 005.jpg,Rychvald2009 005.jpg,image/jpeg,670913,1IbMi7ARZIKfeDez8frzB-qizRPbhZq8h,repo_verified,69ddcf21d94f5f00021b94802a4666bfc52a1ce8,9adfbc7c985b2010e35905ad0700b8b41fa83d543a4543c960bd4c0671c7137d,2048x1360,completed_first_visual_pass
urbanek-rychvald-022,Rychvald/Rychvald2009 008.jpg,sources/osobni-archiv-jaromira-urbanka/Rychvald/Rychvald2009 008.jpg,Rychvald2009 008.jpg,image/jpeg,664236,13Gc-GQ_axclHhH6wcsu380G4bz8PRKVq,repo_verified,2b9b352172e24b1077ac04b13531d18b3c6d337a,7c4be6f1f2a21092af9e89da3aed48e7f154c0e850b38f7609805af6fa45fcb8,1360x2048,completed_first_visual_pass
urbanek-rychvald-023,Rychvald/Zp0707 090.jpg,sources/osobni-archiv-jaromira-urbanka/Rychvald/Zp0707 090.jpg,Zp0707 090.jpg,image/jpeg,1944882,1kzmjlbB6rnhZaCAubuz2OAzrc5w51oLp,repo_verified,1e222adba606a23d646fb1b6100d50af2fcfb7d7,b3c05eefd89ed19677f65078228cc522c425bba02bca250adafc16766af99175,2816x2112,completed_first_visual_pass
urbanek-rychvald-024,Rychvald/Zp1109 005.jpg,sources/osobni-archiv-jaromira-urbanka/Rychvald/Zp1109 005.jpg,Zp1109 005.jpg,image/jpeg,739104,1SMFfJCWIRBlVllbUWcXigIqAHEw9zV22,repo_verified,aae14e690663756d951ad6420b26e46878d30a5b,89e5c5c1a4ceb4c56d15d090d1721877831173fdffda96b639ef68664d257721,2048x1360,completed_first_visual_pass
urbanek-rychvald-025,Rychvald/Zp1109 082.jpg,sources/osobni-archiv-jaromira-urbanka/Rychvald/Zp1109 082.jpg,Zp1109 082.jpg,image/jpeg,689838,12ekIx_qH4SQIFHtZhe0kCHqGUjCX6gOu,repo_verified,27b096a2477b70616bfff736e2ef1776d78591f3,3fc10cbb970f347b78b1c595abba901bff795c051c80b70ee45ea522e9c4c996,2048x1360,completed_first_visual_pass
