id,original_path,repo_path,filename,extension,mime_type,size_bytes,file_role,repo_status,classification_status,ocr_document_text,ocr_scene_text,rights,attribution,notes
urbanek-ochotnici-020,Ochotníci rychvald/Zabloudil Pešková.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Zabloudil Pešková.jpg,Zabloudil Pešková.jpg,jpg,image/jpeg,534271,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-021,Ochotníci rychvald/Z výstavky 2.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Z výstavky 2.jpg,Z výstavky 2.jpg,jpg,image/jpeg,942136,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-022,Ochotníci rychvald/Viola- Sylvie Kravalová MUDr Jaromír Marcalík Sebastiano Violin bratr Irena Marcalíková.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Viola- Sylvie Kravalová MUDr Jaromír Marcalík Sebastiano Violin bratr Irena Marcalíková.jpg,Viola- Sylvie Kravalová MUDr Jaromír Marcalík Sebastiano Violin bratr Irena Marcalíková.jpg,jpg,image/jpeg,229267,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-023,Ochotníci rychvald/četné uznání.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/četné uznání.jpg,četné uznání.jpg,jpg,image/jpeg,682522,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-024,Ochotníci rychvald/Šašek Vejražka - Libor Smetana.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Šašek Vejražka - Libor Smetana.jpg,Šašek Vejražka - Libor Smetana.jpg,jpg,image/jpeg,285087,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-025,Ochotníci rychvald/Viola a Fabiano - Sylvie Kravalová a Radomír Jurdin.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Viola a Fabiano - Sylvie Kravalová a Radomír Jurdin.jpg,Viola a Fabiano - Sylvie Kravalová a Radomír Jurdin.jpg,jpg,image/jpeg,391849,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-026,Ochotníci rychvald/Sebastiano - Irena Marcalíková.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Sebastiano - Irena Marcalíková.jpg,Sebastiano - Irena Marcalíková.jpg,jpg,image/jpeg,349687,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-027,Ochotníci rychvald/Z danního tisku.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Z danního tisku.jpg,Z danního tisku.jpg,jpg,image/jpeg,741368,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-028,Ochotníci rychvald/Článek v čas. Těšínsko I.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Článek v čas. Těšínsko I.jpg,Článek v čas. Těšínsko I.jpg,jpg,image/jpeg,952528,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-029,Ochotníci rychvald/Zabloudil Suider.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Zabloudil Suider.jpg,Zabloudil Suider.jpg,jpg,image/jpeg,438456,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
