id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-popopo-021,popopo/P1010764.JPG,sources/osobni-archiv-jaromira-urbanka/popopo/P1010764.JPG,P1010764.JPG,image/jpeg,3478486,1JjRIB-7GNzbWo5pbaeYeyvxJPMogrpQ0,repo_verified,9ab5d2af955606b2734fd21836f540d465b11e54,8cc13a6971e7a1910fd50f13492dbd84c5a63a6743cba5a1a67c2a1660c44460,2304x3072,completed_first_visual_pass
urbanek-popopo-022,popopo/P1010765a.jpg,sources/osobni-archiv-jaromira-urbanka/popopo/P1010765a.jpg,P1010765a.jpg,image/jpeg,179006,197zMxEs52tdfNNftaNJ0X71gOFjqJVFZ,repo_verified,be3c21b4c34d4a56163978f69e69a2ab2f7c4d5b,ed34f13f4527e8d6efe1185836d36a7728e3cbbbbda6472f390510ac677ee2cb,1004x722,completed_first_visual_pass
urbanek-popopo-023,popopo/P1010791.JPG,sources/osobni-archiv-jaromira-urbanka/popopo/P1010791.JPG,P1010791.JPG,image/jpeg,3452898,1kKuKtmDVETM2aIwisRNobI25HpD2cEU2,repo_verified,114e7faca6c7d8b6804c3e2d5f82eb26cf14a75b,9d81c64beef180be3ed978ad614cea7d049ba8398cfd0e1333c7eee9b5bd2a8d,2304x3072,completed_first_visual_pass
urbanek-popopo-024,popopo/P1010791a.jpg,sources/osobni-archiv-jaromira-urbanka/popopo/P1010791a.jpg,P1010791a.jpg,image/jpeg,1740928,1kTGqCY9kLi8jpS0mKq13vrHH5mZIs4ch,repo_verified,f4f24cdad9a2c7ee735c7f85170b37449c91d1ac,ba04f06b7b8cdf2bb9eedddb8b351e3deb83d9ae99af9f0a187349468b88f671,2304x3072,completed_first_visual_pass
urbanek-popopo-025,popopo/img129.jpg,sources/osobni-archiv-jaromira-urbanka/popopo/img129.jpg,img129.jpg,image/jpeg,144638,1hXkfe2ZTXWcZ9x0aHqPNPL1-LxbnWRo9,repo_verified,28236e45374d991555a29b148916be903c322962,8fcb06f3f52d475021f523d16bd97052973c1b1a86f796a9a41098b2a6e58b1e,1211x827,completed_first_visual_pass
