id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-unused-book-calendar-photographs-011,"fotografie, které nebyl použité pro knihu ani kalendář/333.jpg","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/333.jpg",333.jpg,image/jpeg,421619,1e-YStBlQtTkB3-wLi4Tk9uoqQUTNwWd4,repo_verified,8567c49cc53d76ced8ec94ae656be8518f65d0a5,86a729b1907431b76cb5fd531122ab8978b8dd9043e077d951210d3793e1dea9,1590x1008,completed_first_visual_pass
urbanek-unused-book-calendar-photographs-012,"fotografie, které nebyl použité pro knihu ani kalendář/367.jpg","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/367.jpg",367.jpg,image/jpeg,127673,1R3UOUo5SbjtgUQdT_-DUyL-_IygDmRYL,repo_verified,4d5a15a599ce68b468e662ebef5cb893957a3a02,8a550e508011c0b5a121501ce3712bc824c4b3f38c742d85911c11b1c0f74faa,960x702,completed_first_visual_pass
urbanek-unused-book-calendar-photographs-013,"fotografie, které nebyl použité pro knihu ani kalendář/369.jpg","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/369.jpg",369.jpg,image/jpeg,598195,1oD0kr1h5FrnRnoPpPz6_qgDlZHhk12N3,repo_verified,eeb8a4c7515edc41ae0f92c416f3073feb512639,5e2ff43d1fc3106f777af0601a51787838ab899fd097104972ec93d6d11e0057,1811x602,completed_first_visual_pass
urbanek-unused-book-calendar-photographs-014,"fotografie, které nebyl použité pro knihu ani kalendář/5005a.jpg","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/5005a.jpg",5005a.jpg,image/jpeg,800814,1p1Q-2pJBNCI11tOW1AFnnSHXRDgucIb_,repo_verified,483e27f622a037fd16add54e363f9953346b7301,317ea8e9ab3912224d276f1c30d44092d9e61f1efd154101c4cb676acd97f6ce,1812x1274,completed_first_visual_pass
urbanek-unused-book-calendar-photographs-015,"fotografie, které nebyl použité pro knihu ani kalendář/5011b.jpg","sources/osobni-archiv-jaromira-urbanka/fotografie, které nebyl použité pro knihu ani kalendář/5011b.jpg",5011b.jpg,image/jpeg,448015,1oZHgVtz58-_L2817r5sYrjHfsY7eVN7N,repo_verified,af8b53fb54f076198b2d65c982e786a57f232ec1,102d15918309990bb052f7c919c50469e40b841fed5f18e2b42fedff198b3506,1625x1008,completed_first_visual_pass
