id,source_subfolder,archival_filename,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,digital_format,rights,attribution,drive_id
urbanek-ccs-126,5 Kaple CČS na Ostravici,15.jpg,5 Kaple CČS na Ostravici/15.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/15.jpg,repo_verified,6f9529c2fe675031ca0c68c13f4cb91c0af82f36,231694,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ccs-127,5 Kaple CČS na Ostravici,16 Před kapličkou.jpg,5 Kaple CČS na Ostravici/16 Před kapličkou.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/16 Před kapličkou.jpg,repo_verified,cdfe3d4b246a64195473d9c174b7ac3e54d57b74,261337,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,1EDxwBh24bk5kdzQk-N9d2bAh8mDwDP0n
urbanek-ccs-128,5 Kaple CČS na Ostravici,17 Vlevo Leonard Bugumský.jpg,5 Kaple CČS na Ostravici/17 Vlevo Leonard Bugumský.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/17 Vlevo Leonard Bugumský.jpg,repo_verified,77ea523d65fa5006b4ca832e00071e24d5db3ac7,210938,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,10HMLEfhS8NGrSeliZE-ptjIGqyPaaa7p
urbanek-ccs-129,5 Kaple CČS na Ostravici,18.jpg,5 Kaple CČS na Ostravici/18.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/18.jpg,repo_verified,5a0415d4cc136a8411dd321177bc7ce784e1761e,415921,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ccs-130,5 Kaple CČS na Ostravici,19.jpg,5 Kaple CČS na Ostravici/19.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/5 Kaple CČS na Ostravici/19.jpg,repo_verified,a7ea1f508767eacc1806d6b7a7b90f4eb25af325,219730,JPEG,unknown,Z osobního archivu p. Jaromíra Urbánka.,
