id,source_path,repo_path,filename,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-rychvald-vcera-dnes-011,Fotografie knihy Rychvald včera a dnes/10.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/10.jpg,10.jpg,image/jpeg,1595421,1DRbio9ado3m0vTSiJfUFsoZSzRabmUHk,repo_verified,981340cfd4e368ea14d0664892dd0ce59082edc9,2735f3d5e1025a9f8abe09ffe4e69d99800df42bb2c11e6156f82a2582b69f65,3348x1710,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-012,Fotografie knihy Rychvald včera a dnes/11.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/11.jpg,11.jpg,image/jpeg,1620514,15K9yB3mPCwQfevLTxxjqx2SWkjIV_Mq3,repo_verified,5df99817adb0d9ade23875fdbbaf1267341db86b,468c44947739aa8ec5da26e857995dbed97ab0fab3b70bdfd963082df16ceeba,3386x1963,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-013,Fotografie knihy Rychvald včera a dnes/12.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/12.jpg,12.jpg,image/jpeg,2682082,1snAWck99oDdcPQ5xVP0TxR_wHLmqUa01,repo_verified,de13fd9fffd8a28cb5ba069cbffe88786e35eee3,37b00dd789f3cd1c2dc000db34f7f78f508453a6cef1f5c4b0ff55988bf05fba,4577x2535,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-014,Fotografie knihy Rychvald včera a dnes/13.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/13.jpg,13.jpg,image/jpeg,2200350,1GsVaSDS5URMzoXHiiuzrhuA8m4R3IMMJ,repo_verified,a34574729f2ce79c5e31c00a5d57bf7ae495c17c,b1ba6af95d039d126ca01891be894759d2c2fca00b2ab1c6b66636359ae1c96d,3557x2166,completed_first_visual_pass
urbanek-rychvald-vcera-dnes-015,Fotografie knihy Rychvald včera a dnes/14.jpg,sources/osobni-archiv-jaromira-urbanka/Fotografie knihy Rychvald včera a dnes/14.jpg,14.jpg,image/jpeg,2586006,1UXQf820faYylJXo7iYFOWKzVv_vD65aP,repo_verified,0e11c191068c850e58cfe8b2571f24e5165ce1ef,fd62ca46d8681f41f54fc1db73c3bce94647a873243f02217a255ae2697740de,3928x2042,completed_first_visual_pass
