id,source_path,repo_path,filename,item_type,mime_type,size_bytes,drive_id,repo_status,git_blob_sha,sha256,dimensions,classification_status
urbanek-newspaper-articles-1903-1925-016,"novinové články 1903 - 1925/img995.jpg","sources/osobni-archiv-jaromira-urbanka/novinové články 1903 - 1925/img995.jpg",img995.jpg,content,image/jpeg,2105037,1EHjMEn2arddskLn-P5cZAumMxlxo09D0,repo_verified,ced6271084df60756ba2290c378f95ee578d983a,f69d356a4b14f030b765f73ccf39ea2a7b2a7e57822f1a5ce2b9ac4e3124fd88,2466x3467,completed_first_visual_pass
urbanek-newspaper-articles-1903-1925-017,"novinové články 1903 - 1925/Thumbs.db","sources/osobni-archiv-jaromira-urbanka/novinové články 1903 - 1925/Thumbs.db",Thumbs.db,technical,application/octet-stream,124416,1UruSTX3FxgkhYD7MJJt9EyIINIkzRguB,repo_verified,e9757435c7f433a7bbd4ce887cd4fccec2afe445,1f3c5380a9c72ef7cbdf52b098d9d4998f1a50de20087fc5cad6a73fc32598bf,,technical_cache_audited
urbanek-newspaper-articles-1903-1925-018,"novinové články 1903 - 1925/ZbThumbnail.info","sources/osobni-archiv-jaromira-urbanka/novinové články 1903 - 1925/ZbThumbnail.info",ZbThumbnail.info,technical,application/octet-stream,1087006,1Qkv32F6lRSOvYN57R9OTQ2me02GhhNQu,repo_verified,fed687878a107de697873acc31164de992133e06,dbd28cb2cb90fd7b8450041b8e16eda09635068f443c6ee6f7d08bd02284acbc,,technical_cache_audited
