item_id,source_path,repo_path,repo_status,git_blob_sha,file_size_bytes,media_type,visual_status,rights_status,uncertainty_ids
urbanek-ccs-096,4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/20.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/20.jpg,repo_verified,0fc719cc0de4abb92ecd65cce27a56898db3c24b,200150,image/jpeg,visually_reviewed,unknown,URB-U-0062
urbanek-ccs-097,4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/21.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/21.jpg,repo_verified,da754baee5cdddd770bd1cdfa5f1a2cd4967ea2c,183991,image/jpeg,visually_reviewed,unknown,URB-U-0062
urbanek-ccs-098,4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/22.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/22.jpg,repo_verified,b8d13575816ef32f64b4ffa7cd0c49db1eb91af5,389735,image/jpeg,visually_reviewed,unknown,URB-U-0062
urbanek-ccs-099,4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/23.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/23.jpg,repo_verified,1305168e63f0fc843cffe10298135c415e00c6c3,221482,image/jpeg,visually_reviewed,unknown,URB-U-0062
urbanek-ccs-100,4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/24.jpg,sources/osobni-archiv-jaromira-urbanka/4 Historie  Církve Československé  v Rychvaldě ve fotografiích/4 Slavnostní volba a jmenování biskupem Gabriela Chrobáčka v r. 19/24.jpg,repo_verified,c6e1af4e469d8613a05db0b97765ed68176e7623,198818,image/jpeg,visually_reviewed,unknown,URB-U-0062
